District,Commodity,Date,Modal_Price
Ariyalur,Rice,2025-01-08,2431
Ariyalur,Maize,2025-01-08,2357
Ariyalur,Cotton,2025-01-08,7267
Ariyalur,Sugarcane,2025-01-08,3249
Ariyalur,Groundnut,2025-01-08,6908
Ariyalur,Blackgram,2025-01-08,8393
Ariyalur,Coconut,2025-01-08,3215
Ariyalur,Banana,2025-01-08,1813
Ariyalur,Turmeric,2025-01-08,8827
Ariyalur,Tapioca,2025-01-08,1131
Chengalpattu,Rice,2025-01-08,2201
Chengalpattu,Maize,2025-01-08,2056
Chengalpattu,Cotton,2025-01-08,6534
Chengalpattu,Sugarcane,2025-01-08,3368
Chengalpattu,Groundnut,2025-01-08,6754
Chengalpattu,Blackgram,2025-01-08,7816
Chengalpattu,Coconut,2025-01-08,3012
Chengalpattu,Banana,2025-01-08,1873
Chengalpattu,Turmeric,2025-01-08,9811
Chengalpattu,Tapioca,2025-01-08,1041
Chennai,Rice,2025-01-08,2371
Chennai,Maize,2025-01-08,2356
Chennai,Cotton,2025-01-08,7606
Chennai,Sugarcane,2025-01-08,3384
Chennai,Groundnut,2025-01-08,6088
Chennai,Blackgram,2025-01-08,8928
Chennai,Coconut,2025-01-08,3003
Chennai,Banana,2025-01-08,1980
Chennai,Turmeric,2025-01-08,9658
Chennai,Tapioca,2025-01-08,1083
Coimbatore,Rice,2025-01-08,2315
Coimbatore,Maize,2025-01-08,2129
Coimbatore,Cotton,2025-01-08,7497
Coimbatore,Sugarcane,2025-01-08,3004
Coimbatore,Groundnut,2025-01-08,7038
Coimbatore,Blackgram,2025-01-08,9176
Coimbatore,Coconut,2025-01-08,3250
Coimbatore,Banana,2025-01-08,2084
Coimbatore,Turmeric,2025-01-08,9198
Coimbatore,Tapioca,2025-01-08,1216
Cuddalore,Rice,2025-01-08,2178
Cuddalore,Maize,2025-01-08,2181
Cuddalore,Cotton,2025-01-08,7617
Cuddalore,Sugarcane,2025-01-08,3423
Cuddalore,Groundnut,2025-01-08,6734
Cuddalore,Blackgram,2025-01-08,8478
Cuddalore,Coconut,2025-01-08,3172
Cuddalore,Banana,2025-01-08,1871
Cuddalore,Turmeric,2025-01-08,8879
Cuddalore,Tapioca,2025-01-08,1246
Dharmapuri,Rice,2025-01-08,2388
Dharmapuri,Maize,2025-01-08,2161
Dharmapuri,Cotton,2025-01-08,6842
Dharmapuri,Sugarcane,2025-01-08,3158
Dharmapuri,Groundnut,2025-01-08,6028
Dharmapuri,Blackgram,2025-01-08,8328
Dharmapuri,Coconut,2025-01-08,3201
Dharmapuri,Banana,2025-01-08,2089
Dharmapuri,Turmeric,2025-01-08,9461
Dharmapuri,Tapioca,2025-01-08,1243
Dindigul,Rice,2025-01-08,2370
Dindigul,Maize,2025-01-08,2057
Dindigul,Cotton,2025-01-08,7470
Dindigul,Sugarcane,2025-01-08,3392
Dindigul,Groundnut,2025-01-08,6288
Dindigul,Blackgram,2025-01-08,8617
Dindigul,Coconut,2025-01-08,3003
Dindigul,Banana,2025-01-08,2119
Dindigul,Turmeric,2025-01-08,8467
Dindigul,Tapioca,2025-01-08,1244
Erode,Rice,2025-01-08,2342
Erode,Maize,2025-01-08,2213
Erode,Cotton,2025-01-08,7414
Erode,Sugarcane,2025-01-08,2851
Erode,Groundnut,2025-01-08,6345
Erode,Blackgram,2025-01-08,7588
Erode,Coconut,2025-01-08,3404
Erode,Banana,2025-01-08,1936
Erode,Turmeric,2025-01-08,9944
Erode,Tapioca,2025-01-08,1206
Kallakurichi,Rice,2025-01-08,2465
Kallakurichi,Maize,2025-01-08,2096
Kallakurichi,Cotton,2025-01-08,7211
Kallakurichi,Sugarcane,2025-01-08,3212
Kallakurichi,Groundnut,2025-01-08,6597
Kallakurichi,Blackgram,2025-01-08,8008
Kallakurichi,Coconut,2025-01-08,3188
Kallakurichi,Banana,2025-01-08,1895
Kallakurichi,Turmeric,2025-01-08,8898
Kallakurichi,Tapioca,2025-01-08,1221
Kancheepuram,Rice,2025-01-08,2143
Kancheepuram,Maize,2025-01-08,2187
Kancheepuram,Cotton,2025-01-08,6697
Kancheepuram,Sugarcane,2025-01-08,3149
Kancheepuram,Groundnut,2025-01-08,6520
Kancheepuram,Blackgram,2025-01-08,8147
Kancheepuram,Coconut,2025-01-08,3231
Kancheepuram,Banana,2025-01-08,2033
Kancheepuram,Turmeric,2025-01-08,8587
Kancheepuram,Tapioca,2025-01-08,1179
Karur,Rice,2025-01-08,2314
Karur,Maize,2025-01-08,2338
Karur,Cotton,2025-01-08,7311
Karur,Sugarcane,2025-01-08,3458
Karur,Groundnut,2025-01-08,6742
Karur,Blackgram,2025-01-08,7977
Karur,Coconut,2025-01-08,2804
Karur,Banana,2025-01-08,2086
Karur,Turmeric,2025-01-08,9004
Karur,Tapioca,2025-01-08,1162
Krishnagiri,Rice,2025-01-08,2603
Krishnagiri,Maize,2025-01-08,2118
Krishnagiri,Cotton,2025-01-08,7909
Krishnagiri,Sugarcane,2025-01-08,3324
Krishnagiri,Groundnut,2025-01-08,6296
Krishnagiri,Blackgram,2025-01-08,9603
Krishnagiri,Coconut,2025-01-08,2994
Krishnagiri,Banana,2025-01-08,1946
Krishnagiri,Turmeric,2025-01-08,8330
Krishnagiri,Tapioca,2025-01-08,1139
Madurai,Rice,2025-01-08,2398
Madurai,Maize,2025-01-08,2169
Madurai,Cotton,2025-01-08,6658
Madurai,Sugarcane,2025-01-08,3183
Madurai,Groundnut,2025-01-08,6555
Madurai,Blackgram,2025-01-08,7748
Madurai,Coconut,2025-01-08,3205
Madurai,Banana,2025-01-08,1951
Madurai,Turmeric,2025-01-08,9456
Madurai,Tapioca,2025-01-08,1220
Mayiladuthurai,Rice,2025-01-08,2512
Mayiladuthurai,Maize,2025-01-08,2203
